congresistafam,Concurso méritos abierto,Contración Mínima Cuantía,Contratación directa ley_115_2007,Contratación directa menor cuantía,Convenio,Licitación Pública,Prestación de servicios,Régimen especial,Selección abreviada menor cuantía ley 1150 de 2007,Sin información,Subasta
Angélica Lozano,,545101104,,,,,,,,,759377333
Armando Benedetti,,,2400000000,,,,,400000000,,,
Arturo Char,,984491735,5117663741,,,120387000000,,2387726775,21922458352,,60818802
David Barguil,473296242,24840000,854403347,234884400,,40706905700,,887516670,,,
Edward Rodríguez,,,277707688,,,,,,,,
Julio Gallardo,,,,,,,,,,9537000,
Lidio García,,,,,84586642579,,5500863281,,,,
Oscar Pérez,,,,,,,,70000000,,,
Rodrigo Lara,,,109700000,,,,,240000000,,,
